IsExit,ExitReason,IsTDP,LiabilityCode,TotalHours,CourseMode,HighEdu,CoB,CALD,FacultyCode,DeptCode
0,NULL,1,R,50,Electronic/Online,8,"Korea, Republic of (South)",Y,BIA,MGT
0,NULL,0,FG,32,Standard,524,India,Y,BGD,DIT
0,NULL,0,JU,10,Standard,514,Australia,N,BGD,PRI
0,NULL,1,L,500,Standard,514,Australia,N,SIT,ELT
0,NULL,0,AM,100,Standard,BDI,China (excludes SARs and Taiwan),Y,CND,AMP
0,NULL,0,JU,20,Standard,514,Australia,N,BGD,PRI
0,NULL,0,JU,13.17757009,Standard,521,Australia,N,BGD,PRI
0,NULL,1,L,364,Standard,420,Australia,N,SIT,ELT
0,NULL,1,R,265.7604688,Standard,511,Australia,N,SHS,SAS
1,Z5,0,FS,16,Standard,514,Australia,N,SIT,ELT
0,NULL,0,JU,18,Standard,514,Australia,N,BGD,PRI
0,NULL,0,JU,5.555555556,Standard,514,Australia,N,BGD,PRI
0,NULL,1,R,270,Electronic/Online,8,Australia,N,BIA,MGT
1,E1,1,R,672.85,Standard,521,Australia,N,BIA,HAI
0,NULL,0,JU,59,Standard,511,Sudan,Y,BGD,PRI
0,NULL,1,L,416,Standard,C2E,Australia,N,SIT,PLM
1,W1,0,JU,46,Standard,514,Australia,N,BGD,PRI
1,N1,1,R,174,Standard,521,India,Y,SHS,HCS
0,NULL,1,R,6,Electronic/Online,8,Australia,N,BIA,MGT
0,NULL,1,R,555,Standard,BAE,Australia,N,BIA,MGT
0,NULL,0,FG,424,Standard,521,Australia,N,BGD,DIT
0,NULL,0,AM,169,Standard,BDI,China (excludes SARs and Taiwan),Y,CND,AMP
0,NULL,1,R,320,Standard,511,Australia,N,BIA,DES
0,NULL,0,FS,7,Standard,514,Australia,N,SIT,REF
0,NULL,1,L,414,Standard,521,Australia,N,SIT,REF
0,NULL,1,L,8.902439024,Standard,521,Australia,N,SIT,REF
0,NULL,1,R,905,Standard,200,"Korea, Republic of (South)",Y,SHS,COM
0,NULL,0,AM,20,Standard,BDI,China (excludes SARs and Taiwan),Y,CND,AMP
0,NULL,1,R,107.4162896,Standard,120,Iran,Y,SHS,COM
0,NULL,1,R,220,Standard,120,Iran,Y,SHS,COM
0,NULL,1,PR,60,Standard,511,Greece,Y,SIT,ATL
0,NULL,1,R,489.7722567,Electronic/Online,OTE,Iran,Y,SHS,HCS
0,NULL,1,DL,60.26194255,Standard,521,Australia,N,HED,BEC
0,NULL,1,DL,131.2307692,Standard,521,Australia,N,HED,BEC
0,NULL,1,RO,905,Electronic/Online,8,Australia,N,SHS,COM
0,NULL,1,R,399,Electronic/Online,8,Australia,Y,BIA,INF
0,NULL,0,AM,290,Standard,BDI,China (excludes SARs and Taiwan),Y,CND,AMP
0,NULL,1,L,298,Standard,8,Australia,N,SIT,ELT
0,NULL,0,FN,130,Standard,120,China (excludes SARs and Taiwan),Y,CND,ETS
0,NULL,1,LT,42,Standard,990,Australia,N,BIA,AFS
0,NULL,1,L,414,Standard,514,Australia,N,SIT,REF
0,NULL,1,L,36.62069096,Standard,514,Australia,N,SIT,REF
0,NULL,0,AM,264,Standard,BDI,Ukraine,Y,CND,AMP
0,NULL,0,JU,30,Standard,514,Australia,N,BGD,PRI
0,NULL,0,AM,91,Standard,BDI,China (excludes SARs and Taiwan),Y,CND,AMP
0,NULL,1,R,810,Standard,514,Australia,N,SHS,SAS
0,NULL,0,FS,17,Standard,ADI,England,N,CND,ETS
0,NULL,1,GS,12.09964413,Standard,420,Iraq,Y,SHS,HCS
0,NULL,1,R,760,Standard,990,Australia,N,SHS,SAS
0,NULL,0,R,370,Standard,511,Australia,N,AAS,TLC
0,NULL,1,DL,416,Standard,C3E,Australia,N,HED,ICH
0,NULL,1,LT,455,Standard,DII,Singapore,Y,BIA,MGT
1,E1,1,FN,15,Electronic/Online,514,Australia,N,SHS,HCS
1,W1,1,FN,6,Electronic/Online,521,Australia,N,SHS,HCS
0,NULL,1,L,414,Standard,521,Burma (Myanmar),Y,SIT,WOD
0,NULL,1,RO,630,Standard,511,Australia,N,SHS,SAS
0,NULL,1,RO,9.064748201,Standard,511,Australia,N,SHS,SAS
0,NULL,1,R,765,Standard,200,Sri Lanka,Y,BIA,DES
0,NULL,0,FS,60,Standard,410,Australia,N,AAS,TLC
0,NULL,1,R,460,Standard,8,Australia,N,BIA,INF
0,NULL,1,L,20,Standard,521,Australia,N,SIT,ELT
0,NULL,0,JU,20,Standard,420,Cambodia,Y,BGD,PRI
1,W1,1,PR,332,Standard,990,Australia,N,SIT,PLM
0,NULL,0,R,77.03778677,Standard,420,Australia,N,CND,ETS
0,NULL,1,R,260,Electronic/Online,8,Australia,N,BIA,INF
0,NULL,0,FG,32,Standard,BDI,Malaysia,Y,BGD,DIT
0,NULL,0,R,217.8145695,Standard,120,Chile,Y,CND,ETS
0,NULL,1,PR,448,Standard,521,Australia,N,SIT,ELT
0,NULL,1,L,234,Standard,990,Australia,N,SIT,WOD
0,NULL,0,JU,78,Standard,990,Australia,N,BGD,PRI
0,NULL,1,L,264,Standard,521,Australia,N,SIT,ELT
0,NULL,0,FS,35.52941176,Standard,521,Australia,N,EDL,SIT
0,NULL,1,R,242,Standard,120,China (excludes SARs and Taiwan),Y,SIT,WOD
0,NULL,1,L,17.0027248,Standard,521,Australia,N,SIT,ELT
0,NULL,0,AM,190,Standard,BDI,China (excludes SARs and Taiwan),Y,CND,AMP
0,NULL,0,FS,105,Standard,511,Australia,N,BIA,MGT
0,NULL,0,AM,100,Standard,BDI,China (excludes SARs and Taiwan),Y,CND,AMP
0,NULL,0,R,130,Standard,990,Australia,N,SHS,SAS
0,NULL,1,R,500,Standard,990,Australia,N,SHS,SAS
0,NULL,1,R,425,Standard,990,"United Kingdom, Channel Islands and Isle of Man",N,SHS,COM
0,NULL,0,FG,32,Standard,514,Australia,N,BGD,DIT
0,NULL,1,R,460,Standard,511,Australia,N,SHS,COM
1,W1,1,VL,440,Standard,514,Australia,N,SCL,VCA
1,E1,1,FN,54,Electronic/Online,514,Australia,N,SHS,HCS
1,W1,1,R,200,Standard,OTE,Australia,N,SCL,VCE
0,NULL,0,JU,20,Standard,410,Portugal,Y,BGD,PRI
1,Z6,1,R,9,Standard,514,Australia,N,SHS,SAS
1,Z6,1,R,200.0058601,Standard,514,Australia,N,SHS,SAS
0,NULL,0,AM,184,Standard,BDI,China (excludes SARs and Taiwan),Y,CND,AMP
1,W1,1,R,200,Electronic/Online,8,China (excludes SARs and Taiwan),Y,BIA,INF
0,NULL,0,FS,27.57990868,Standard,521,Australia,N,EDL,SIT
0,NULL,0,FS,38,Standard,514,Australia,N,SHS,COM
0,NULL,0,FS,40,Standard,521,Bulgaria,Y,EDL,SIT
1,C1,1,R,358,Electronic/Online,420,China (excludes SARs and Taiwan),Y,BIA,INF
1,C1,0,R,160,Electronic/Online,420,China (excludes SARs and Taiwan),Y,BIA,INF
0,NULL,0,JU,30,Standard,514,Australia,N,BGD,PRI
0,NULL,0,FS,15,Electronic/Online,8,Australia,N,BIA,INF
0,NULL,1,L,574,Standard,521,Pakistan,Y,SIT,PLM
0,NULL,0,FG,34.16280674,Electronic/Online,8,Australia,N,CND,ETS
0,NULL,0,AM,100,Standard,BDI,China (excludes SARs and Taiwan),Y,CND,AMP
1,E1,1,R,218.5,Standard,524,Australia,N,BIA,MUS
1,P1,0,R,20,Standard,514,Vietnam,Y,CND,ETS
0,NULL,1,R,230.3934195,Standard,990,Australia,N,SHS,NUR
0,NULL,1,LS,535,Standard,514,Australia,N,BIA,AFS
0,NULL,0,FS,15,Electronic/Online,BDI,China (excludes SARs and Taiwan),Y,BIA,INF
0,NULL,0,JU,10,Standard,514,Australia,N,BGD,PRI
0,NULL,1,PR,454,Standard,990,Australia,N,SIT,ELT
0,NULL,1,L,328,Standard,990,Australia,N,SIT,PLM
0,NULL,1,PR,492,Standard,120,China (excludes SARs and Taiwan),Y,SIT,PLM
1,W1,0,IP,11,Offshore/Study Abroad,BDI,China (excludes SARs and Taiwan),Y,CND,ETS
1,W1,0,IP,35.98913043,Offshore/Study Abroad,BDI,China (excludes SARs and Taiwan),Y,CND,ETS
1,W1,1,R,438.5,Standard,OTI,Egypt,Y,SHS,COM
0,NULL,0,JU,10,Standard,521,Australia,N,BGD,PRI
0,NULL,0,R,205.2034884,Standard,8,Australia,N,CND,ETS
1,E2,1,L,220,Standard,DIE,Australia,N,SIT,ELT
0,NULL,1,FN,11.12403101,Electronic/Online,514,Australia,N,SHS,HCS
0,NULL,1,DL,540,Standard,8,Australia,N,HED,BEC
0,NULL,0,FS,40,Standard,514,Australia,N,EDL,SIT
0,NULL,1,FN,6.481481481,Electronic/Online,514,Australia,N,SHS,HCS
0,NULL,1,L,75,Standard,990,Australia,N,SIT,ATL
0,NULL,0,FS,8,Standard,8,Australia,N,SIT,ELT
0,NULL,1,R,272.5,Electronic/Online,OTI,Nepal,Y,BIA,INF
0,NULL,1,L,8.390804598,Standard,514,Malaysia,Y,SIT,REF
0,NULL,1,L,484,Standard,514,Malaysia,Y,SIT,REF
0,NULL,0,FS,4.622807018,Standard,8,Not entered,Y,CND,ETS
0,NULL,0,FG,32,Standard,514,Australia,N,BGD,DIT
0,NULL,0,R,330,Electronic/Online,410,Australia,N,CND,ETS
0,NULL,1,RO,17.88990826,Standard,420,Sudan,Y,SHS,SAS
0,NULL,1,R,401.11,Standard,521,Australia,N,BIA,INF
1,S1,0,R,15,Standard,420,India,Y,CND,ETS
0,NULL,0,FG,200,Standard,8,India,Y,BGD,DIT
0,NULL,1,L,80,Standard,521,Australia,N,SIT,ELT
0,NULL,0,R,66.15384615,Standard,BDI,India,Y,CND,ETS
0,NULL,0,AM,48,Standard,BDI,China (excludes SARs and Taiwan),Y,CND,AMP
0,NULL,0,JU,160,Standard,514,Australia,N,BGD,PRI
0,NULL,1,R,905,Standard,DII,Northern Ireland,N,SHS,COM
1,W1,0,JU,10,Standard,8,Vietnam,Y,BGD,PRI
0,NULL,1,RO,510,Electronic/Online,514,United States of America,N,SHS,SAS
0,NULL,1,RO,85.71428571,Electronic/Online,514,United States of America,N,SHS,SAS
0,NULL,1,R,490,Standard,990,Spain,Y,BIA,AFS
0,NULL,0,FN,84.38502674,Electronic/Online,8,Australia,N,CND,ETS
0,NULL,0,FN,520,Electronic/Online,8,Australia,N,CND,ETS
1,P1,1,GS,36,Standard,511,Australia,N,SHS,HCS
0,NULL,1,R,554,Standard,521,Australia,N,SHS,SAS
0,NULL,0,JU,40,Standard,511,Australia,N,BGD,PRI
1,,1,VS,3,Standard,521,Australia,N,SIT,ELT
0,NULL,1,L,6.02807597,Standard,C3E,England,N,SIT,REF
0,NULL,1,L,440,Standard,C3E,England,N,SIT,REF
0,NULL,1,VS,310,Standard,990,Australia,N,SHS,SAS
0,NULL,0,FS,15,Electronic/Online,BDI,Colombia,Y,BIA,INF
0,NULL,0,JU,15,Standard,514,Australia,N,BGD,PRI
1,W1,0,R,32.93193717,Standard,511,Australia,N,CND,ETS
1,E2,1,L,200,Standard,420,New Zealand,N,BIA,AFS
0,NULL,0,R,302.7044025,Standard,OTI,India,Y,CND,ETS
0,NULL,1,LT,640,Standard,990,Australia,N,SHS,HCS
0,NULL,1,LT,130.8823529,Standard,410,China (excludes SARs and Taiwan),Y,BIA,AFS
1,W1,1,LT,1.649484536,Standard,BDI,China (excludes SARs and Taiwan),Y,BIA,AFS
1,W1,1,LT,20,Standard,BDI,China (excludes SARs and Taiwan),Y,BIA,AFS
0,NULL,1,L,122.5526435,Standard,420,Australia,N,SIT,REF
0,NULL,0,FG,480,Standard,511,Australia,N,BGD,DIT
0,NULL,1,R,580,Standard,OTI,China (excludes SARs and Taiwan),Y,SHS,COM
0,NULL,1,R,985,Standard,120,China (excludes SARs and Taiwan),Y,SHS,COM
0,NULL,0,FG,228,Electronic/Online,514,Australia,N,BGD,DIT
0,NULL,1,R,875,Standard,BDI,Afghanistan,Y,SHS,COM
0,NULL,0,AM,200,Standard,BDI,China (excludes SARs and Taiwan),Y,CND,AMP
0,NULL,0,FS,8,Standard,524,Australia,N,SIT,ELT
0,NULL,0,FS,15,Electronic/Online,8,Australia,N,BIA,INF
0,NULL,0,R,71.5,Standard,BDI,Philippines,Y,CND,ETS
1,F1,0,FS,3,Standard,8,Australia,N,BIA,MGT
0,NULL,1,R,480,Standard,511,Australia,N,SHS,COM
0,NULL,1,RO,72.12278245,Electronic/Online,120,Australia,N,SHS,HCS
1,W1,1,VL,97,Standard,990,Australia,N,SCL,VCA
0,NULL,1,R,260,Electronic/Online,8,New Zealand,N,BIA,INF
0,NULL,1,VS,200,Standard,521,Australia,N,SIT,ATL
0,NULL,1,L,19.77103885,Standard,DII,China (excludes SARs and Taiwan),Y,BIA,AFS
0,NULL,1,L,92,Standard,DII,China (excludes SARs and Taiwan),Y,BIA,AFS
0,NULL,0,AM,15,Standard,BDI,China (excludes SARs and Taiwan),Y,CND,AMP
0,NULL,1,L,364,Standard,BAE,China (excludes SARs and Taiwan),Y,SIT,ELT
0,NULL,1,R,282.5,Electronic/Online,110,Iran,Y,BIA,INF
0,NULL,1,R,540,Standard,521,Australia,N,SHS,SAS
0,NULL,0,AM,50,Standard,ADI,China (excludes SARs and Taiwan),Y,CND,AMP
0,NULL,0,AM,20,Standard,ADI,China (excludes SARs and Taiwan),Y,CND,AMP
1,W1,0,JU,25,Standard,514,Australia,N,BGD,PRI
0,NULL,0,JU,25,Standard,514,Australia,N,BGD,PRI
0,NULL,1,L,15.51820728,Standard,DII,Iran,Y,SIT,ELT
0,NULL,1,R,728,Standard,521,Australia,N,SHS,SAS
0,NULL,0,R,330,Standard,420,Australia,N,CND,ETS
0,NULL,0,JU,10,Standard,521,Australia,N,BGD,PRI
0,NULL,1,DL,347,Standard,521,Australia,N,HED,MUC
0,NULL,0,R,330,Electronic/Online,OTI,India,Y,CND,ETS
0,NULL,1,RO,262.124617,Electronic/Online,990,Australia,N,SHS,HCS
0,NULL,1,R,548,Standard,514,Australia,N,SHS,SAS
0,NULL,1,PR,454,Standard,521,Australia,N,SIT,ELT
0,NULL,1,R,400,Electronic/Online,8,Malaysia,Y,BIA,INF
0,NULL,1,L,428,Standard,990,Australia,N,SIT,WOD
0,NULL,1,L,19.92156863,Standard,8,China (excludes SARs and Taiwan),Y,BIA,AFS
0,NULL,1,L,92,Standard,8,China (excludes SARs and Taiwan),Y,BIA,AFS
0,NULL,0,AM,138,Standard,BDI,China (excludes SARs and Taiwan),Y,CND,AMP
0,NULL,1,R,580,Standard,521,Australia,N,SHS,SAS
0,NULL,0,AM,29,Standard,BDI,China (excludes SARs and Taiwan),Y,CND,AMP
0,NULL,0,AM,270,Standard,BDI,China (excludes SARs and Taiwan),Y,CND,AMP
0,NULL,0,FS,15,Electronic/Online,514,Australia,N,BIA,INF
0,NULL,1,R,170.6841663,Electronic/Online,514,Australia,N,SHS,SAS
0,NULL,1,LT,50,Standard,8,Vietnam,Y,BIA,AFS
0,NULL,0,AM,104,Standard,BDI,Japan,Y,CND,AMP
0,NULL,1,L,17.67810026,Standard,521,Australia,N,SIT,ELT
1,P1,0,R,30,Standard,8,Australia,N,CND,ETS
0,NULL,1,R,520.538498,Standard,521,Australia,N,SHS,SAS
0,NULL,0,AM,56,Standard,BDI,China (excludes SARs and Taiwan),Y,CND,AMP
1,W1,0,R,21,Standard,8,Australia,N,CND,ETS
0,NULL,1,R,11.61290323,Standard,C4E,China (excludes SARs and Taiwan),Y,SHS,COM
0,NULL,1,R,145,Standard,990,Australia,N,BIA,DES
0,NULL,1,R,23.23232323,Standard,990,Australia,N,BIA,DES
0,NULL,0,FG,32,Standard,514,Australia,N,BGD,DIT
0,NULL,0,AM,114,Standard,BDI,China (excludes SARs and Taiwan),Y,CND,AMP
0,NULL,1,L,52,Standard,521,Australia,N,SIT,WOD
1,Z5,0,FS,33,Standard,514,Australia,N,BIA,MUS
0,NULL,1,R,620.0878625,Standard,120,Malaysia,Y,SHS,NUR
0,NULL,1,L,440,Standard,410,Australia,N,SIT,REF
0,NULL,1,L,5.821371611,Standard,410,Australia,N,SIT,REF
0,NULL,1,L,120,Standard,8,China (excludes SARs and Taiwan),Y,BIA,AFS
0,NULL,1,GS,120,Standard,OTI,Canada,N,SHS,HCS
0,NULL,1,L,417,Standard,521,Australia,N,SIT,PLM
0,NULL,1,L,0.53125,Standard,521,Australia,N,SIT,REF
0,NULL,0,JU,40,Standard,C2E,Australia,N,BGD,PRI
0,NULL,1,L,60,Standard,514,Australia,Y,SIT,ELT
0,NULL,1,RO,212.0187547,Standard,990,Australia,N,BIA,AFS
0,NULL,1,R,550,Standard,521,Australia,N,SHS,SAS
0,NULL,1,L,350,Standard,521,Australia,N,SIT,PLM
0,NULL,1,L,2.212189616,Standard,514,Australia,N,SIT,ELT
1,E1,1,R,46,Standard,BDI,China (excludes SARs and Taiwan),Y,SHS,HCS
0,NULL,0,FS,18,Standard,514,Australia,N,SIT,PLM
0,NULL,1,R,229.3937481,Standard,990,Turkey,Y,SHS,NUR
0,NULL,1,R,1280,Standard,514,Australia,N,SHS,SAS
0,NULL,1,RO,237.5672343,Electronic/Online,8,China (excludes SARs and Taiwan),Y,SHS,HCS
0,NULL,0,FS,38,Standard,120,Iran,Y,BIA,INF
0,NULL,0,JU,40,Standard,990,Australia,Y,BGD,PRI
1,W1,1,R,23.84711717,Standard,511,Australia,N,SHS,COM
0,NULL,1,R,370,Electronic/Online,120,Australia,N,BIA,INF
1,C1,1,R,113.6065574,Standard,514,Australia,N,SHS,SAS
1,C1,1,R,350,Standard,514,Australia,N,SHS,SAS
